		=== g++: Unexpected fails for rv32gcv ilp32d medlow  ===
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++20 (test for excess errors)
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++29 (test for excess errors)
FAIL: c-c++-common/spec-barrier-1.c  -std=gnu++98 (test for excess errors)
FAIL: g++.dg/coroutines/pr110872.C  -std=c++26 (internal compiler error: in expand_expr_addr_expr_1, at expr.cc:9317)
FAIL: g++.dg/coroutines/pr110872.C  -std=c++26 (test for excess errors)
FAIL: g++.dg/coroutines/pr110872.C  -std=c++29 (internal compiler error: in expand_expr_addr_expr_1, at expr.cc:9317)
FAIL: g++.dg/coroutines/pr110872.C  -std=c++29 (test for excess errors)
FAIL: g++.dg/reflect/has_external_linkage2.C  -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/reflect/has_external_linkage2.C  -std=c++29 (test for excess errors)
FAIL: g++.dg/reflect/has_internal_linkage2.C  -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/reflect/has_internal_linkage2.C  -std=c++29 (test for excess errors)
FAIL: g++.dg/reflect/has_module_linkage2.C  -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/reflect/has_module_linkage2.C  -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-1_b.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-1_b.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/hdr-1_b.H.gcm)
FAIL: g++.dg/modules/hdr-1_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-2.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/hdr-2.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-init-1_a.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/hdr-init-1_a.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-init-1_a.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/hdr-init-1_a.H.gcm)
FAIL: g++.dg/modules/hdr-init-1_b.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/hdr-init-1_b.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hdr-init-1_b.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/hdr-init-1_b.H.gcm)
FAIL: g++.dg/modules/hdr-init-1_c.C -std=c++29  scan-lang-dump module "Read:-[0-9]*'s named merge key \\(matched\\) var_decl:'::var'"
FAIL: g++.dg/modules/hdr-init-1_c.C -std=c++29  scan-lang-dump module "Read:-[0-9]*'s named merge key \\(new\\) var_decl:'::var'"
FAIL: g++.dg/modules/hdr-init-1_c.C -std=c++29  scan-lang-dump-times module "Reading 1 initializers" 2
FAIL: g++.dg/modules/hdr-init-1_c.C -std=c++29  scan-lang-dump-times module "Reading definition var_decl '::var@[^\\n]*/hdr-init-1_a.H:1'" 2
FAIL: g++.dg/modules/hdr-init-1_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hello-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/hello-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hello-1_a.C -std=c++29 module-cmi hello (gcm.cache/hello.gcm)
FAIL: g++.dg/modules/hello-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hello-2_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/hello-2_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/hello-2_a.C -std=c++29 module-cmi Hello2 (gcm.cache/Hello2.gcm)
FAIL: g++.dg/modules/hello-2_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/horcrux-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/horcrux-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/horcrux-1_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/horcrux-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-inline-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-inline-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-inline-1_a.C -std=c++29 module-cmi Foo (gcm.cache/Foo.gcm)
FAIL: g++.dg/modules/imp-inline-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-1_a.C -std=c++29 module-cmi A (gcm.cache/A.gcm)
FAIL: g++.dg/modules/imp-member-1_b.C -std=c++29  scan-lang-dump module "\\[.*\\]=decl definition '::C@A:1::__ct '"
FAIL: g++.dg/modules/imp-member-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-1_b.C -std=c++29 module-cmi B (gcm.cache/B.gcm)
FAIL: g++.dg/modules/imp-member-1_c.C -std=c++29  scan-lang-dump module "Adding implicit member '::C@A:.::__ct @B:."
FAIL: g++.dg/modules/imp-member-1_c.C -std=c++29  scan-lang-dump module "Read:-[0-9]*'s named merge key \\(new\\) function_decl:'::C@A:.::__ct '\\n"
FAIL: g++.dg/modules/imp-member-1_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-1_d.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-1_e.C -std=c++29  scan-lang-dump module "Read:-[0-9]*'s named merge key \\(matched\\) function_decl:'::C@A:.::__ct '\\n"
FAIL: g++.dg/modules/imp-member-1_e.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-2_a.C -std=c++29  scan-lang-dump module "Cluster members:\\n  \\[0\\]=decl definition '::C'\\n  \\[1\\]=decl declaration '::C::C'\\n  \\[2\\]=binding '::C'\\n"
FAIL: g++.dg/modules/imp-member-2_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-2_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-2_a.C -std=c++29 module-cmi A (gcm.cache/A.gcm)
FAIL: g++.dg/modules/imp-member-2_b.C -std=c++29  scan-lang-dump-times module "\\[0\\]=decl definition '::C@A:1::__ct '" 3
FAIL: g++.dg/modules/imp-member-2_b.C -std=c++29  scan-lang-dump-times module "\\[0\\]=decl definition '::C@A:1::__dt '" 1
FAIL: g++.dg/modules/imp-member-2_b.C -std=c++29  scan-lang-dump-times module "\\[0\\]=decl definition '::C@A:1::operator='" 2
FAIL: g++.dg/modules/imp-member-2_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-2_b.C -std=c++29 module-cmi B (gcm.cache/B.gcm)
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Adding implicit member '::C@A:.::__ct @B:." 3
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Adding implicit member '::C@A:.::__dt @B:." 1
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Adding implicit member '::C@A:.::operator=@B:." 2
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Read:-[0-9]*'s named merge key \\(new\\) function_decl:'::C@A:.::__ct '\\n" 3
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Read:-[0-9]*'s named merge key \\(new\\) function_decl:'::C@A:.::__dt '\\n" 1
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29  scan-lang-dump-times module "Read:-[0-9]*'s named merge key \\(new\\) function_decl:'::C@A:.::operator='\\n" 2
FAIL: g++.dg/modules/imp-member-2_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-3.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-3.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-3.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/imp-member-3.H.gcm)
FAIL: g++.dg/modules/imp-member-4_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-4_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-4_a.C -std=c++29 module-cmi A (gcm.cache/A.gcm)
FAIL: g++.dg/modules/imp-member-4_b.C -std=c++29  scan-lang-dump-times module "\\[0\\]=decl definition '::vector@A:1<int>::_Vector_impl@A:1<int>::__dt '" 1
FAIL: g++.dg/modules/imp-member-4_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-4_b.C -std=c++29 module-cmi B (gcm.cache/B.gcm)
FAIL: g++.dg/modules/imp-member-4_c.C -std=c++29  scan-lang-dump module "Reading function definition '::vector@A:1<int>::_Vector_impl@A:1<int>::__dt @A:1'"
FAIL: g++.dg/modules/imp-member-4_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-5_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-5_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-5_a.C -std=c++29 module-cmi A (gcm.cache/A.gcm)
FAIL: g++.dg/modules/imp-member-5_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-5_b.C -std=c++29 module-cmi B (gcm.cache/B.gcm)
FAIL: g++.dg/modules/imp-member-5_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-6_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/imp-member-6_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-6_a.C -std=c++29 module-cmi tools (gcm.cache/tools.gcm)
FAIL: g++.dg/modules/imp-member-6_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/imp-member-6_b.C -std=c++29 module-cmi dedupe (gcm.cache/dedupe.gcm)
FAIL: g++.dg/modules/imp-member-6_c.C -std=c++29  scan-lang-dump module "Adding implicit member '::DedupeFilesPath@tools:.::__dt @dedupe:.'"
FAIL: g++.dg/modules/imp-member-6_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/import-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_a.C -std=c++29 module-cmi Bar (gcm.cache/Bar.gcm)
FAIL: g++.dg/modules/import-1_b.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/import-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_b.C -std=c++29 module-cmi Baz (gcm.cache/Baz.gcm)
FAIL: g++.dg/modules/import-1_c.C -std=c++29  scan-lang-dump module "Writing exported import:.->. Bar"
FAIL: g++.dg/modules/import-1_c.C -std=c++29  scan-lang-dump module "Writing exported import:.->. Baz"
FAIL: g++.dg/modules/import-1_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_c.C -std=c++29 module-cmi Foo (gcm.cache/Foo.gcm)
FAIL: g++.dg/modules/import-1_d.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_d.C -std=c++29 module-cmi Foop (gcm.cache/Foop.gcm)
FAIL: g++.dg/modules/import-1_e.C -std=c++29  scan-lang-dump module "Found exported import:1 Bar->1"
FAIL: g++.dg/modules/import-1_e.C -std=c++29  scan-lang-dump module "Found exported import:2 Baz->2"
FAIL: g++.dg/modules/import-1_e.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_f.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-1_g.C -std=c++29  (test for errors, line 7)
FAIL: g++.dg/modules/import-1_g.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-3_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/import-3_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-3_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/import-3_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/import-3_b.C -std=c++29 module-cmi bar (gcm.cache/bar.gcm)
FAIL: g++.dg/modules/import-3_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-1_a.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-1_a.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-1_a.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-1_a.H.gcm)
FAIL: g++.dg/modules/inc-xlate-1_b.H -std=c++29  scan-file import "[^\\n]*inc-xlate-1_a.H" \\[\\[__translated\\]\\];\\n
FAIL: g++.dg/modules/inc-xlate-1_e.C -std=c++29  (test for errors, line 3)
FAIL: g++.dg/modules/inc-xlate-1_e.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-1_e.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-2_a.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-2_a.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-2_a.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-2_a.H.gcm)
FAIL: g++.dg/modules/inc-xlate-2_b.H -std=c++29  (test for warnings, line 5)
FAIL: g++.dg/modules/inc-xlate-2_b.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-2_b.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-2_b.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-2_b.H.gcm)
FAIL: g++.dg/modules/inc-xlate-3_a.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-3_a.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-3_a.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-3_a.H.gcm)
FAIL: g++.dg/modules/inc-xlate-4_a.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-4_a.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-4_a.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-4_a.H.gcm)
FAIL: g++.dg/modules/inc-xlate-4_b.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-4_b.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-4_b.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-4_b.H.gcm)
FAIL: g++.dg/modules/inc-xlate-4_c.H -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/inc-xlate-4_c.H -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/inc-xlate-4_c.H -std=c++29 module-cmi  (gcm.cache/$srcdir/g++.dg/modules/inc-xlate-4_c.H.gcm)
FAIL: g++.dg/modules/indirect-1_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/indirect-1_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-1_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::B'@'foo' section:"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::Scoped'@'foo' section:"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::X'@'foo' section:"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::Y'@'foo' section:"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::frob'@'foo' section:"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* function_decl:'::foo::frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* type_decl:'::foo::X@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* type_decl:'::foo::Y@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump-times module "Wrote import:-[0-9]* type_decl:'::foo::Plain@foo:.'@foo" 2
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29  scan-lang-dump-times module "Wrote import:-[0-9]* type_decl:'::foo::Scoped@foo:.'@foo" 2
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-1_b.C -std=c++29 module-cmi bar (gcm.cache/bar.gcm)
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[13\\] section:3"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[14\\] section:4"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[15\\] section:5"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[1\\] section:1"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[8\\] section:2"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* function_decl:'::foo::Y@foo:.::frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* function_decl:'::foo::frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* type_decl:'::foo::X@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* type_decl:'::foo::Y@foo:.'@foo"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::Plain_Const_Three'@'bar' section:"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::Plain_One'@'bar' section:"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::Scoped_Const_Three'@'bar' section"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::Scoped_One'@'bar' section"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::Z'@'bar' section:"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::frob'@'bar' section:"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::quux'@'bar' section:"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Named:-[0-9]* namespace_decl:'::foo'@foo"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29  scan-lang-dump module "Read member:-[0-9]* field_decl:'::foo::Y@foo:.::_vptr.Y'"
FAIL: g++.dg/modules/indirect-1_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-2_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/indirect-2_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-2_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Cluster members:\\n  \\[0\\]=specialization definition '::foo::X<0x0>'\\n  \\[1\\]=specialization declaration '::foo::X<0x0>::__conv_op <0x0>'\\n  \\[2\\]=specialization declaration '::foo::X<0x0>::X<0x0>'\\n(  \\[.\\]=[^\\n]* '\\n)*"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Depset:. specialization entity:. type_decl:'::foo::X<0x0>'"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::X'@'foo' section:"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::frob'@'foo' section"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Writing:-[0-9]*'s decl spec merge key \\(specialization\\) function_decl:'::foo::frob<0x0>'"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Writing:-[0-9]*'s type spec merge key \\(specialization\\) type_decl:'::foo::X<0x0>'"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Writing:-[0-9]*'s type spec merge key \\(specialization\\) type_decl:'::foo::X<0x0>'"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* template_decl:'::foo::template X@foo:.'@foo"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* template_decl:'::foo::template frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29  scan-lang-dump module "Wrote purview:-[0-9]* type_decl:'::foo::X<0x0>'"
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-2_b.C -std=c++29 module-cmi bar (gcm.cache/bar.gcm)
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[1\\] section:1"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[4\\] section:2"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* template_decl:'::foo::template X@foo:.'@foo"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* template_decl:'::foo::template frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::frob'@'bar' section:"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::quux'@'bar' section:"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29  scan-lang-dump module "Read:-[0-9]* function_decl:'::foo::frob<0x0>'"
FAIL: g++.dg/modules/indirect-2_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-3_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/indirect-3_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-3_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Cluster members:\\n  \\[0\\]=specialization definition '::foo::TPL<0x0>'\\n  \\[1\\]=specialization definition '::foo::TPL<0x0>::frob<0x0>'\\n  \\[2\\]=specialization declaration '::foo::TPL<0x0>::TPL<0x0>'"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Cluster members:\\n  \\[0\\]=specialization definition '::foo::X@foo:.::frob<0x0>'"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::TPL'@'foo' section"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Lazily binding '::foo::X'@'foo' section"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Writing:-[0-9]*'s decl spec merge key \\(specialization\\) function_decl:'::foo::X@foo:.::frob<0x0>'"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Writing:-[0-9]*'s type spec merge key \\(specialization\\) type_decl:'::foo::TPL<0x0>'"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* template_decl:'::foo::X@foo:.::template frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29  scan-lang-dump module "Wrote import:-[0-9]* template_decl:'::foo::template TPL@foo:.'@foo"
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-3_b.C -std=c++29 module-cmi bar (gcm.cache/bar.gcm)
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[.\\] section:1"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module ">Loading entity foo\\[5\\] section:2"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* template_decl:'::foo::X@foo:.::template frob@foo:.'@foo"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module "Imported:-[0-9]* template_decl:'::foo::template TPL@foo:.'@foo"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::quux'@'bar' section:"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module "Lazily binding '::bar::toto'@'bar' section:"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29  scan-lang-dump module "Reading definition type_decl '::foo::TPL@bar:.<0x0>'"
FAIL: g++.dg/modules/indirect-3_c.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-4_a.C -std=c++29 (internal compiler error: in get_cxx_dialect_name, at cp/name-lookup.cc:7543)
FAIL: g++.dg/modules/indirect-4_a.C -std=c++29 (test for excess errors)
FAIL: g++.dg/modules/indirect-4_a.C -std=c++29 module-cmi foo (gcm.cache/foo.gcm)
FAIL: g++.dg/modules/indirect-4_b.C -std=c++29  scan-lang-dump module "Cluster members:\\n  \\[0\\]=specialization definition '::foo::TPL<0x1>'\\n  \\[1\\]=specialization declaration '::foo::TPL<0x1>::template frob<#unnamed#>'\\n  \\[2\\]=specialization declaration '::foo::TPL<0x1>::TPL<0x1>'\\n(  \\[.\\]=[^\\n]* '\\n)*"
